date,aircraft_official,helicopter_official,tank_official,APC_official,field_artillery_official,MRL_official,military_auto_official,fuel_tank_official,drone_official,naval_ship_official,anti_aircraft_warfare_official,special_equipment_official,mobile_SRBM_system_official,vehicles_and_fuel_tanks_official,cruise_missiles_official,submarines_official,ground_robotic_systems_official,APC_ws,MRL_ws,aircraft_ws,anti_aircraft_warfare_ws,drone_ws,field_artillery_ws,helicopter_ws,naval_ship_ws,tank_ws
2022-06-01,0.0,1.0,3.0,41.0,10.0,0.0,100.0,60.0,4.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0
2022-06-02,2.0,0.0,2.0,11.0,2.0,0.0,100.0,60.0,2.0,0.0,1.0,2.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-06-03,0.0,0.0,4.0,12.0,14.0,0.0,100.0,60.0,14.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-06-04,0.0,0.0,9.0,13.0,5.0,0.0,100.0,60.0,5.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0
2022-06-05,0.0,0.0,5.0,13.0,6.0,0.0,100.0,60.0,8.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-06,1.0,1.0,5.0,8.0,4.0,0.0,100.0,60.0,3.0,0.0,1.0,0.0,0.0,35.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
2022-06-07,1.0,1.0,4.0,16.0,4.0,0.0,100.0,60.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-06-08,0.0,1.0,3.0,13.0,9.0,6.0,100.0,60.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2022-06-09,0.0,0.0,5.0,9.0,8.0,0.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2022-06-10,0.0,0.0,11.0,12.0,1.0,9.0,100.0,60.0,10.0,0.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2022-06-11,0.0,0.0,10.0,16.0,0.0,0.0,100.0,60.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2022-06-12,0.0,0.0,11.0,18.0,3.0,4.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2022-06-13,1.0,0.0,2.0,8.0,3.0,0.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2022-06-14,0.0,1.0,2.0,11.0,3.0,3.0,100.0,60.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2022-06-15,0.0,0.0,6.0,25.0,1.0,1.0,100.0,60.0,3.0,0.0,0.0,1.0,0.0,12.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2022-06-16,0.0,0.0,9.0,17.0,7.0,3.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0
2022-06-17,2.0,1.0,7.0,18.0,5.0,0.0,100.0,60.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
